SA22018_V1_NAME,LATITUDE,LONGITUDE
Saint Johns East,-36.87546729,174.8460881
Oneroa West,-36.78767524,174.999654
Glen Innes West,-36.873161,174.85692
Ellerslie South,-36.90072215,174.8155531
Stonefields West,-36.88678029,174.8372301
Onehunga Central,-36.91974178,174.7870961
Glendowie South,-36.8646606,174.8672379
Oranga,-36.91207992,174.8003061
Mount Wellington North West,-36.89388294,174.8293182
Panmure Glen Innes Industrial,-36.88365468,174.8507618
Onehunga-Te Papapa Industrial,-36.92606886,174.7948913
Te Papapa,-36.91863866,174.7964898
Stonefields East,-36.88886515,174.842588
Glen Innes East-Wai O Taiki Bay,-36.87360239,174.871202
Penrose,-36.91999811,174.8225891
Mount Wellington North East,-36.89400476,174.8429494
Mangere Bridge Ambury,-36.94780505,174.7687563
Mount Wellington Ferndale,-36.90212113,174.8317793
Point England,-36.88386826,174.8653296
Bucklands Beach North,-36.86068628,174.9037907
Mount Wellington East,-36.90148701,174.8388454
Mount Wellington West,-36.91116791,174.8277109
Panmure West,-36.89965538,174.8447464
Mangere Bridge,-36.94356976,174.7885401
Oneroa East-Palm Beach,-36.77927556,175.0521861
Tamaki,-36.89521581,174.8618746
Panmure East,-36.9022851,174.8603575
Mount Wellington Central,-36.90833619,174.8446081
Bays Waiheke Island,-36.79811715,175.1696346
Sylvia Park,-36.91485222,174.8404902
Mangere Mountain View,-36.95251573,174.7858599
Surfdale,-36.79613493,175.02985
Mount Wellington Industrial,-36.92046064,174.8516218
Half Moon Bay West,-36.88602382,174.8966502
Auckland Airport,-36.9891029,174.7740086
Eastern Beach,-36.87674433,174.9134907
Sunnyhills West-Pakuranga North,-36.9085095,174.872694
Favona North,-36.94920111,174.8089561
Bucklands Beach Central,-36.88001336,174.9076561
Farm Cove,-36.89546599,174.8838067
Mangere North,-36.95922768,174.7950367
Favona West,-36.95592834,174.8001116
Ostend,-36.79263832,175.0522047
Half Moon Bay North East,-36.88645568,174.9049466
Mangere West,-36.96564384,174.7900145
Pakuranga West,-36.91819021,174.8688268
Mount Wellington South West,-36.93113094,174.8459642
Sunnyhills East,-36.90137998,174.8914069
Half Moon Bay South East,-36.89466587,174.9025249
Favona East,-36.95588747,174.8108786
Mount Wellington South East,-36.92699118,174.8554437
Otahuhu Industrial,-36.9501703,174.8279842
Bucklands Beach South,-36.88980813,174.9131876
Pakuranga Central,-36.91470511,174.877811
Awhitu,-37.14989636,174.6321686
Harania North,-36.96170937,174.8102543
Otahuhu Central,-36.94175556,174.836046
Mangere Central,-36.97101355,174.7988214
Otahuhu North,-36.93828521,174.8472201
Howick West,-36.89320364,174.9197951
Pakuranga Heights North West,-36.91160179,174.8886163
Mellons Bay,-36.88715946,174.9304025
Pakuranga Heights East,-36.90862754,174.8990375
Sutton Park,-36.95872645,174.8220561
Otahuhu East,-36.93272301,174.8626682
Mangere South,-36.97875887,174.7951449
Onetangi,-36.79584373,175.0783981
Harania South,-36.96750095,174.814633
Highland Park (Auckland),-36.90473104,174.9093709
Otahuhu South West,-36.95216719,174.840055
Pakuranga Heights South West,-36.9198535,174.8867872
Mangere Mascot,-36.97328531,174.8094542
Waiheke East,-36.79798055,175.1279694
Massey Road West,-36.96532836,174.8244482
Otahuhu South,-36.94719396,174.8499666
Howick Central,-36.89922262,174.9236847
Massey Road North,-36.96400152,174.8326041
Botany Downs West,-36.90954846,174.9141456
East Tamaki,-36.93823242,174.8871287
Howick East,-36.90088621,174.930388
Burswood,-36.92248095,174.8974399
Massey Road South,-36.97185419,174.8222655
Middlemore,-36.96044494,174.843067
Mangere South East,-36.98695925,174.8274394
Botany Downs East,-36.91003877,174.9217755
Grange,-36.96377055,174.849417
Golflands,-36.92144309,174.9078108
Aorere North,-36.97359119,174.826687
Mangere East,-36.96930074,174.8391719
Cockle Bay,-36.89765568,174.9432824
Otara West,-36.95591017,174.8653476
Aorere Central,-36.97679381,174.8303348
Northpark North,-36.91724964,174.9224791
Somerville,-36.91234246,174.9339411
Northpark South,-36.9227022,174.9164104
Papatoetoe North,-36.97093119,174.8493612
Dingwall,-36.96337293,174.8606968
Aorere South,-36.98140868,174.8375585
